"Product ID","Active (0/1)","Name *","Categories (x,y,z...)","Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Low stock level","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x,y,z)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No, 1 = Yes)","Product available date","Product creation date","Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No, 1 = Yes)","Condition","Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079202-PK","80100-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D2","","","","","","0","1","","","","1","","1992/","","80100-85Y40,2314079202-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079202-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079203-PK","82101-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D3","","","","","","0","1","","","","1","","1992/","","82101-85Y40,2314079203-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079203-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079204-PK","82100-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D4","","","","","","0","1","","","","1","","1992/","","82100-85Y40,2314079204-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079204-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE GUARDACHOQUE CHEVROLET SAIL ",",500026","0","1","0","1","","","CHEVROLET","SAIL","2603151700","9066304","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CV44327A","","","","","","0","1","","","","1","","2017/","","9066304,2603151700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2603151700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE GUARDACHOQUE:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL IZQUIERDO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151701","undefined","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081BL","","","","","","0","1","","","","10","","2017/","","undefined,3103151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL DERECHO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151702","undefined","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081BR","","","","","","0","1","","","","10","","2017/","","undefined,3103151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL IZQUIERDO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151801","26674855","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081AL","","","","","","0","1","","","","10","","2017/","","26674855,3103151801","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151801.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL DERECHO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151802","26674856","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081AR","","","","","","0","1","","","","10","","2017/","","26674856,3103151802","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151802.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO MAZDA CX 5 IZQUIERDO",",500036","0","1","0","1","","","MAZDA","CX 5","3713151701","KB7W-56-140C","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ11097AL","","","","","","0","1","","","","10","","2017/","","KB7W-56-140C,3713151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3713151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO MAZDA CX 5 DERECHO",",500036","0","1","0","1","","","MAZDA","CX 5","3713151702","KB7W-56-130C","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ11097AR","","","","","","0","1","","","","10","","2017/","","KB7W-56-130C,3713151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3713151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO TOYOTA FORTUNER IZQUIERDO",",500036","0","1","0","1","","","TOYOTA","FORTUNER","3720241801","53806-0K221-PFM","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","TY11366AL","","","","","","0","1","","","","15","","2017/","","53806-0K221-PFM,3720241801","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3720241801.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO TOYOTA FORTUNER DERECHO",",500036","0","1","0","1","","","TOYOTA","FORTUNER","3720241802","53805-0K221-PFM","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","TY11366AR","","","","","","0","1","","","","15","","2017/","","53805-0K221-PFM,3720241802","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3720241802.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
